Subgroup variable,Subgroup,Variable,Comparison,Odds ratio (95% CI),P-value,n,events,epv
Surgical specialty,Abdominal gastrointestinal surgery,Male sex,Yes vs No,1.06 (0.62–1.79),0.837,419,177,10.4
,,Hospital exposure within 90 days,Yes vs No,0.90 (0.54–1.50),0.696,419,177,10.4
,,Prior antibiotic exposure,Yes vs No,0.75 (0.39–1.46),0.404,419,177,10.4
,,Prior ESBL-positive culture,Yes vs No,4.94 (2.16–11.28),<0.001,419,177,10.4
,,Surgery duration,Per unit increase,0.98 (0.91–1.05),0.536,419,177,10.4
,,Ethnicity,Asian vs reference,1.70 (0.89–3.23),0.105,419,177,10.4
,,,Black vs reference,1.21 (0.51–2.89),0.660,419,177,10.4
,,Organism,K. pneumoniae vs reference,1.05 (0.62–1.77),0.848,419,177,10.4
,,Prophylaxis regimen,Aminoglycoside-based vs reference,1.03 (0.37–2.89),0.957,419,177,10.4
,,,Limited Enterobacterales activity vs reference,0.54 (0.22–1.35),0.190,419,177,10.4
,,,No prophylaxis vs reference,0.84 (0.48–1.49),0.560,419,177,10.4
,,Sample site,Drain vs reference,0.94 (0.53–1.67),0.834,419,177,10.4
,,,Sputum vs reference,0.42 (0.17–1.04),0.061,419,177,10.4
,,,Tips/devices vs reference,0.85 (0.24–2.98),0.800,419,177,10.4
,,,Urine vs reference,0.99 (0.49–2.01),0.972,419,177,10.4
,,,Wound vs reference,0.64 (0.35–1.17),0.146,419,177,10.4
,Cardiothoracic surgery,Male sex,Yes vs No,0.67 (0.24–1.82),0.430,220,53,4.1
,,Hospital exposure within 90 days,Yes vs No,0.55 (0.22–1.39),0.206,220,53,4.1
,,Prior antibiotic exposure,Yes vs No,1.50 (0.34–6.57),0.590,220,53,4.1
,,Prior ESBL-positive culture,Yes vs No,2.92 (0.71–12.01),0.137,220,53,4.1
,,Surgery duration,Per unit increase,1.19 (0.95–1.48),0.126,220,53,4.1
,,Ethnicity,Asian vs reference,5.09 (2.16–11.99),<0.001,220,53,4.1
,,Organism,K. pneumoniae vs reference,0.45 (0.19–1.11),0.083,220,53,4.1
,,Prophylaxis regimen,Limited Enterobacterales activity vs reference,0.79 (0.28–2.20),0.650,220,53,4.1
,,,No prophylaxis vs reference,1.39 (0.54–3.58),0.492,220,53,4.1
,,Sample site,Sputum vs reference,0.44 (0.16–1.17),0.098,220,53,4.1
,,,Urine vs reference,3.72 (1.25–11.11),0.018,220,53,4.1
,,,Wound vs reference,0.55 (0.17–1.75),0.309,220,53,4.1
,General surgery,Male sex,Yes vs No,1.84 (0.88–3.85),0.106,219,74,5.3
,,Hospital exposure within 90 days,Yes vs No,1.40 (0.67–2.91),0.365,219,74,5.3
,,Prior antibiotic exposure,Yes vs No,1.26 (0.37–4.27),0.706,219,74,5.3
,,Prior ESBL-positive culture,Yes vs No,1.52 (0.36–6.46),0.574,219,74,5.3
,,Surgery duration,Per unit increase,1.06 (0.95–1.18),0.271,219,74,5.3
,,Ethnicity,Asian vs reference,2.45 (0.73–8.19),0.146,219,74,5.3
,,,Black vs reference,1.74 (0.47–6.44),0.407,219,74,5.3
,,Organism,K. pneumoniae vs reference,1.39 (0.61–3.16),0.434,219,74,5.3
,,Prophylaxis regimen,Co-amoxiclav-based vs reference,1.71 (0.52–5.66),0.379,219,74,5.3
,,,No prophylaxis vs reference,2.31 (0.94–5.68),0.068,219,74,5.3
,,Sample site,Drain vs reference,0.98 (0.38–2.51),0.959,219,74,5.3
,,,Urine vs reference,1.58 (0.61–4.07),0.344,219,74,5.3
,,,Wound vs reference,0.75 (0.33–1.67),0.481,219,74,5.3
,Gynaecological oncology,Hospital exposure within 90 days,Yes vs No,0.66 (0.30–1.43),0.290,225,115,8.2
,,Prior antibiotic exposure,Yes vs No,1.10 (0.40–2.99),0.852,225,115,8.2
,,Prior ESBL-positive culture,Yes vs No,1.93 (0.44–8.47),0.385,225,115,8.2
,,Surgery duration,Per unit increase,1.14 (0.89–1.45),0.294,225,115,8.2
,,Ethnicity,Asian vs reference,3.40 (1.44–8.02),0.005,225,115,8.2
,,,Black vs reference,1.08 (0.28–4.13),0.909,225,115,8.2
,,Organism,K. pneumoniae vs reference,1.21 (0.52–2.83),0.663,225,115,8.2
,,Prophylaxis regimen,Aminoglycoside-based vs reference,0.16 (0.04–0.63),0.008,225,115,8.2
,,,Limited Enterobacterales activity vs reference,0.21 (0.08–0.58),0.003,225,115,8.2
,,,No prophylaxis vs reference,1.37 (0.61–3.09),0.448,225,115,8.2
,,Sample site,Drain vs reference,1.99 (0.77–5.12),0.156,225,115,8.2
,,,Urine vs reference,2.11 (0.82–5.43),0.120,225,115,8.2
,,,Wound vs reference,1.31 (0.57–3.00),0.526,225,115,8.2
