,age_at_admission,gender,hospital_exposure_90d,past_abx,prior_positive_esbl,surgery_length,temp,type2_diabetes,ethnicity_desc__asian,ethnicity_desc__black,organism_bug__klebsiella oxytoca,organism_bug__klebsiella pneumoniae,organism_bug__proteus mirabilis,site__drain,site__sputum,site__tips_devices,site__tissue/biopsy,site__urine,site__wound,tfc__abdominal_gi,tfc__cardiothoracic,tfc__gynaecological_oncology,tfc__neuro_ent,tfc__obs_gynae,tfc__ortho_plastics,tfc__uro_nephro,tfc__vascular,prophylaxis_group__aminoglycoside-based,prophylaxis_group__cefuroxime +/- metronidazole + aminoglycoside,prophylaxis_group__co-amoxiclav-based,prophylaxis_group__limited_enterobact_activity,prophylaxis_group__no_prophylaxis,prophylaxis_group__other_broad_spectrum_gram_negative_active
age_at_admission,1.0,0.22268263262481314,0.00571213016582485,0.010695014689587036,0.0088181325855905,0.11657959987057605,0.05307455815262989,0.1642890572169654,0.05480910789818129,0.0636681983444848,0.052303747541566324,0.008784043629591341,0.033841049137674925,0.033725472763739744,0.12638525895686012,0.005435838884992697,0.00622422253029086,0.05787456210884476,0.023303306237600286,0.0929849526293832,0.14312957080698513,0.05171263887473007,0.0024492516126427524,0.3288159630344433,0.007710779992041928,0.007284439779403327,0.13604713930082332,0.0859358052305471,0.014284893021180863,0.11001703882013752,0.026988578924757544,0.03614616535917024,0.0414565372140855
gender,0.22268263262481314,1.0,0.017880451135066998,0.001346360798002436,0.038186430251553126,0.18689207515495998,0.019620296910720238,0.10779965042286195,0.04868299121799431,0.060631158016643066,0.0657165647536301,0.10829352176545326,0.004930446449198484,0.02318913380986053,0.20748122216997394,0.05531799276199074,0.017772349564240345,0.08155288474233707,0.043759991430937464,0.12456790166799311,0.09927520775773653,0.2955230205545267,0.06029693123750101,0.30114253041273004,0.138489261984671,0.13575446630195528,0.15161558652280982,0.047066140707587356,0.06456574303514505,0.059784328515243956,0.00789425089409963,0.05861029473674542,0.04849713086822655
hospital_exposure_90d,0.00571213016582485,0.017880451135066998,1.0,0.3989627455568382,0.13265775788159942,0.053006429970635434,0.0008262809038977079,0.021559075408340046,0.014196480761331896,0.01354544390035212,0.004624232994428068,0.0023377429521082237,0.005437168597163317,0.04495855554390432,0.020760786207748322,0.015489349061164236,0.0048902597234170165,0.03619714178912082,0.010999210154974745,0.1384904406748161,0.0367891706601598,0.07376023633475288,0.03224981390298957,0.041328911232523066,0.10212351080799405,0.044711345523074375,0.020300617259162664,0.014044551291795354,0.012696953456158639,0.06536026471755806,0.08140149369438811,0.029515029028828254,0.09937246653930738
past_abx,0.010695014689587036,0.001346360798002436,0.3989627455568382,1.0,0.20102462210394959,0.038914866568819304,0.020444890963577017,0.004852353346071884,0.024454938903684612,0.0006975892849904102,0.026660000689464433,0.023474128889269058,0.01843504855378365,0.05392416598101235,0.046799562308110054,0.012671222897523865,0.042257810982922146,0.01128194404744198,0.003194552213275731,0.05282937305252767,0.04886505855405708,0.020711600862922206,0.04446313192125302,0.06160220049177808,0.0061888181804039075,0.07555251837203567,0.0005019611293681114,0.08473270331851422,0.03824072384623015,0.02008373612542816,0.009737307998566676,0.07457066237106147,0.08090680894619945
prior_positive_esbl,0.0088181325855905,0.038186430251553126,0.13265775788159942,0.20102462210394959,1.0,0.08488951488617677,0.014042539205492697,0.03774002300899077,0.09733764492265652,0.011756156811780246,0.02785970813989646,0.041459190153194304,0.002091452020671397,0.012577819397952458,0.03755148771224353,0.0029113788562228284,0.00047454954340229115,0.05820547334707721,0.010877251630212923,0.0020907630905703826,0.04466753630887422,0.05189470069302509,0.010380509098624034,0.05444936502661374,0.002617008402796772,0.11862580590658116,0.011144459421058288,0.04347238102833454,0.022488012327634407,0.03941039576974023,0.05121114455528519,0.018431143910264302,0.015205450556394868
surgery_length,0.11657959987057605,0.18689207515495998,0.053006429970635434,0.038914866568819304,0.08488951488617677,1.0,0.10100852056354749,0.0495381732454867,0.040411457112636724,0.051155996577817615,0.04773355910824251,0.01522392317094716,0.022247157986283857,0.13722350915666115,0.026202708509691038,0.08520393615331552,0.05664833119610737,0.17332509584516337,0.06688237067791497,0.288254477389881,0.032583055455987206,0.07426701051891996,0.03120686561857946,0.2792830023251851,0.024656197699349507,0.12660427540511998,0.06647395230741857,0.025096459072225356,0.10281656726081635,0.04995808192786116,0.004574312113563364,0.09329215562896326,0.025322432738742042
temp,0.05307455815262989,0.019620296910720238,0.0008262809038977079,0.020444890963577017,0.014042539205492697,0.10100852056354749,1.0,0.006272543168372641,0.05000121604645408,0.013979472711884048,0.018860317860514373,0.04909554284282814,0.012333304745390397,0.05479797710080765,0.01608019806877707,0.032187081013192724,0.04146184990433188,0.060771158680868353,0.014378498017860097,0.09387621887944358,0.02096375149959466,0.016221059480482556,0.02303241828719919,0.0012157829636790548,0.052059269724925916,0.09088470478399435,0.02902334633728042,0.024371378605921833,0.001392411568549399,0.008897043141755198,0.03277607385339505,0.07800480220318257,0.1583247544872877
type2_diabetes,0.1642890572169654,0.10779965042286195,0.021559075408340046,0.004852353346071884,0.03774002300899077,0.0495381732454867,0.006272543168372641,1.0,0.18006167036217274,0.04998816993711521,0.010491385420843317,0.09317900921515988,0.03221445861743882,0.008890058572275506,0.022607366160231696,0.028242711495293338,0.0014822576159555755,0.033810299875150426,0.03949345309648442,0.0421048858659388,0.04535413959531704,0.024754222491315033,0.032717219038997256,0.13615605892579077,0.004203739032981756,0.011844195825137278,0.03912404903740844,0.02431370838563269,0.008290401800266918,0.021504759921830215,0.05488327423286583,0.009912641908813599,0.007152121135139303
ethnicity_desc__asian,0.05480910789818129,0.04868299121799431,0.014196480761331896,0.024454938903684612,0.09733764492265652,0.040411457112636724,0.05000121604645408,0.18006167036217274,1.0,0.12412688720107028,0.01729645375082544,0.06447956504385768,0.03331508411213527,0.012917923079696879,0.054191090829504414,0.006667321353276693,0.023278343254600847,0.05734979019705449,0.007186216848653526,0.02067402023597909,0.03895464325884337,0.09682251647823481,0.020592584521299785,0.01592288813716567,0.0293125330534422,0.040364623800891196,0.08011437192334157,0.07175638321100496,0.0373337948200211,0.052723461052756715,0.11330388741680902,0.01062351014702643,0.041969621928809646
ethnicity_desc__black,0.0636681983444848,0.060631158016643066,0.01354544390035212,0.0006975892849904102,0.011756156811780246,0.051155996577817615,0.013979472711884048,0.04998816993711521,0.12412688720107028,1.0,0.02663832712084985,0.029991520430477637,0.026626331805000163,0.04168618112967642,0.05546236036559614,0.017200979026239255,0.026784605649603086,0.013894454955326202,0.04275713098662324,0.03378354648725781,0.04287434974575733,0.009633950024212582,0.013713486214300713,0.015779290895237653,0.049391302231207294,0.022320226483213714,0.007916196295853772,0.006855394831909697,0.005911749417563908,0.053579006812727176,0.03958837226942839,0.00822141817915184,0.0026549318874806104
