term,odds_ratio,ci_lower,ci_upper,p_value,predictor,category,is_categorical,n,events
age_at_admission,1.0069478875081392,0.9987953719618443,1.0151669467245377,0.09504771589575271,age_at_admission,,False,2146,785
gender,1.2049124980853063,0.9246966930196058,1.5700436034882537,0.16750545151727214,gender,,False,2146,785
hospital_exposure_90d,0.8902156861041021,0.6988363896077724,1.1340050111451483,0.3463645010092332,hospital_exposure_90d,,False,2146,785
past_abx,1.0399753945848926,0.7219159526754385,1.4981644571417994,0.8333135086265115,past_abx,,False,2146,785
prior_positive_esbl,5.488722723377279,3.5283294521529673,8.538340181281919,4.270496398255791e-14,prior_positive_esbl,,False,2146,785
surgery_length,1.0322742209645623,0.9901877421238715,1.0761495239098704,0.1347420492688543,surgery_length,,False,2146,785
temp,1.2727224866597262,1.0200556091130468,1.5879747276305614,0.03269329634387345,temp,,False,2146,785
type2_diabetes,1.0947675201455127,0.831467009729274,1.4414473564691317,0.5188896136130938,type2_diabetes,,False,2146,785
ethnicity_desc__asian,1.9967870476314424,1.4704713964633214,2.7114832176799477,9.422515426575953e-06,ethnicity_desc,asian,True,2146,785
ethnicity_desc__black,1.084521329158033,0.7396453847333815,1.590203275347529,0.6777615672273077,ethnicity_desc,black,True,2146,785
organism_bug__klebsiella oxytoca,0.18796176553320942,0.09206504768407857,0.38374634229914156,4.431529955863673e-06,organism_bug,klebsiella oxytoca,True,2146,785
organism_bug__klebsiella pneumoniae,1.3155556469207081,1.0203409944090274,1.6961845791047159,0.03440665822585811,organism_bug,klebsiella pneumoniae,True,2146,785
organism_bug__proteus mirabilis,0.0816329902021565,0.038761911356998476,0.17191993005634396,4.2987143908476534e-11,organism_bug,proteus mirabilis,True,2146,785
site__drain,0.9022735739994056,0.6204453572926162,1.312118130579731,0.590415845554919,site,drain,True,2146,785
site__sputum,0.4323317102898294,0.2866038068857763,0.6521571006089979,6.387706351116071e-05,site,sputum,True,2146,785
site__tips_devices,0.8294047313599016,0.42300451699820524,1.6262526303120048,0.586118130291797,site,tips_devices,True,2146,785
site__tissue/biopsy,1.075308408644364,0.46776055940415684,2.471965945940758,0.8642552781522809,site,tissue/biopsy,True,2146,785
site__urine,1.361194000570221,1.0180734905893685,1.8199561468944034,0.0374489863051734,site,urine,True,2146,785
site__wound,0.6405151147582763,0.46879948969681834,0.875128111805605,0.005148096190314859,site,wound,True,2146,785
tfc__abdominal_gi,1.3979242243946621,0.9013569202885103,2.168055842433551,0.13461978466743924,tfc,abdominal_gi,True,2146,785
tfc__cardiothoracic,0.8632565603649752,0.5079730750963729,1.4670302926425505,0.5867978196593842,tfc,cardiothoracic,True,2146,785
tfc__gynaecological_oncology,2.2355298558427505,1.36371839017142,3.6646816325004665,0.0014222414086001343,tfc,gynaecological_oncology,True,2146,785
tfc__neuro_ent,0.7893407028954406,0.47372151183073397,1.315242668291775,0.3638384318773885,tfc,neuro_ent,True,2146,785
tfc__obs_gynae,0.5829225327300938,0.3395752107991924,1.0006580820924735,0.05027957379310659,tfc,obs_gynae,True,2146,785
tfc__ortho_plastics,0.8004321427106192,0.4694883500759839,1.3646592401720319,0.41348016302232615,tfc,ortho_plastics,True,2146,785
tfc__uro_nephro,1.423727361191774,0.9007046019297202,2.2504599117883197,0.13045934821390745,tfc,uro_nephro,True,2146,785
tfc__vascular,1.4895993195657877,0.8407296496536796,2.6392623761572924,0.17209364102429092,tfc,vascular,True,2146,785
prophylaxis_group__aminoglycoside-based,0.5319220643143734,0.3488284230293731,0.8111181997363767,0.003363155315796208,prophylaxis_group,aminoglycoside-based,True,2146,785
prophylaxis_group__cefuroxime +/- metronidazole + aminoglycoside,0.9136790171594371,0.5192862537573987,1.6076091757811928,0.7541662481878272,prophylaxis_group,cefuroxime +/- metronidazole + aminoglycoside,True,2146,785
prophylaxis_group__co-amoxiclav-based,0.6532514229153327,0.4146540285889994,1.0291409033044374,0.06634299576497385,prophylaxis_group,co-amoxiclav-based,True,2146,785
prophylaxis_group__limited_enterobact_activity,0.49166290817098185,0.3349194257150608,0.7217628979120665,0.0002893980999054724,prophylaxis_group,limited_enterobact_activity,True,2146,785
prophylaxis_group__no_prophylaxis,1.0797115218324969,0.8107171495048081,1.437957703361661,0.5998523986951902,prophylaxis_group,no_prophylaxis,True,2146,785
prophylaxis_group__other_broad_spectrum_gram_negative_active,1.3038619805395832,0.4626229206788809,3.6748202224866833,0.6157494608184362,prophylaxis_group,other_broad_spectrum_gram_negative_active,True,2146,785
