variable,vif,error
const,6229.966254664117,
tfc__uro_nephro,2.441820487513898,
tfc__abdominal_gi,2.253182923810287,
tfc__obs_gynae,2.1673864580904696,
tfc__gynaecological_oncology,1.953866705348818,
tfc__cardiothoracic,1.9290415472110778,
site__urine,1.9150235646234794,
tfc__neuro_ent,1.8554971161209644,
site__wound,1.7951456836859727,
tfc__ortho_plastics,1.7508227330884236,
site__sputum,1.7313262360007706,
tfc__vascular,1.6598915310643536,
site__drain,1.5287779342455508,
prophylaxis_group__no_prophylaxis,1.5166032702958683,
gender,1.4046390548035734,
prophylaxis_group__aminoglycoside-based,1.399295749620952,
prophylaxis_group__co-amoxiclav-based,1.3734669923039036,
prophylaxis_group__limited_enterobact_activity,1.344448864032118,
surgery_length,1.3156442475235823,
hospital_exposure_90d,1.2878220245562353,
past_abx,1.280861324420923,
age_at_admission,1.2356487462655774,
prophylaxis_group__cefuroxime +/- metronidazole + aminoglycoside,1.2341656496047844,
site__tips_devices,1.155437475120709,
organism_bug__klebsiella pneumoniae,1.1524824940765541,
site__tissue/biopsy,1.135006492218903,
prophylaxis_group__other_broad_spectrum_gram_negative_active,1.1290065018090136,
ethnicity_desc__asian,1.1246477543267468,
type2_diabetes,1.1074094094304923,
prior_positive_esbl,1.0967825544506957,
organism_bug__klebsiella oxytoca,1.0863645213028958,
organism_bug__proteus mirabilis,1.0795649616514953,
temp,1.0744859382068923,
ethnicity_desc__black,1.0480736063047,
