,age_at_admission,gender,hospital_exposure_90d,past_abx,prior_positive_esbl,surgery_length,temp,type2_diabetes,ethnicity_desc__asian,ethnicity_desc__black,organism_bug__klebsiella oxytoca,organism_bug__klebsiella pneumoniae,organism_bug__proteus mirabilis,site__drain,site__sputum,site__tips_devices,site__tissue/biopsy,site__urine,site__wound,tfc__abdominal_gi,tfc__cardiothoracic,tfc__gynaecological_oncology,tfc__neuro_ent,tfc__obs_gynae,tfc__ortho_plastics,tfc__uro_nephro,tfc__vascular,prophylaxis_group__aminoglycoside-based,prophylaxis_group__cefuroxime +/- metronidazole + aminoglycoside,prophylaxis_group__co-amoxiclav-based,prophylaxis_group__limited_enterobact_activity,prophylaxis_group__no_prophylaxis,prophylaxis_group__other_broad_spectrum_gram_negative_active
age_at_admission,1.0,0.24223987693742405,0.02342265360068911,0.0019290649900118072,0.010402317852252265,0.12492097673654724,0.05301411175349327,0.17396933448013793,0.04737252339149707,0.058652103344095236,0.050773373026240694,0.013471348751439677,0.024683779642473976,0.04241167915734973,0.13634795035450176,0.004761072187337123,0.019567547292337638,0.06205158742101258,0.01841122377415236,0.09857484652909136,0.13696501753238008,0.04513174791838614,0.008336328192681536,0.3501812411383903,0.022862098795302304,0.008741622041351775,0.15045092317308345,0.09730518129882881,0.022307124886320365,0.10104219184093587,0.03351411589318536,0.03721118981522272,0.012705801643110012
gender,0.24223987693742405,1.0,0.0024882824824584504,0.014545533341062204,0.041922045207200866,0.19361450059898494,0.010348006165550207,0.10647842919902702,0.05241368628081582,0.06047875306932411,0.06170964143716923,0.11100242325630824,0.010368234759151594,0.016017369636303312,0.2108580120918499,0.061330243407374564,0.004108535114917577,0.07573924756574613,0.044426782684258675,0.12136285823076062,0.10800113840790901,0.29208594586611014,0.05257138143748772,0.31450077673631854,0.1376158340976047,0.16900202050830548,0.1598773402601932,0.04858966001918982,0.08407250136748592,0.052722232207464775,0.009693299792865841,0.052605449061738474,0.01580782555432972
hospital_exposure_90d,0.02342265360068911,0.0024882824824584504,1.0,0.39982856898911356,0.12976629328925232,0.05084568709106233,0.021530289580837744,0.00021046803785404125,0.019665954550692488,0.011709735897184829,0.0011572392878480752,0.012134423658251006,0.02420243150662064,0.038247485487902716,0.024089618779842843,0.011989944410536444,0.0051219205113606356,0.03889978559417233,0.02232274676986416,0.15264783340727417,0.039281329667094654,0.07381322561509546,0.0476151676685634,0.059800577463666876,0.09791155463813535,0.057102143335576075,0.01583738265169692,0.007826474220904095,0.02974633019208577,0.06770271590473256,0.0652014860629244,0.020323521598658932,0.0457506932284217
past_abx,0.0019290649900118072,0.014545533341062204,0.39982856898911356,1.0,0.1936259886501022,0.015045819710221198,0.005766604169165391,0.011734361640142882,0.026676878708230947,0.005065972910074442,0.023076000996353176,0.039570496567997285,0.02683289369719621,0.04923700007083918,0.03556603031833497,0.02753322615453319,0.026737832395009254,0.016394586995180167,0.0013970936072783683,0.058633596931519316,0.033492198448319556,0.02046564934343993,0.044099395172804014,0.062450329411938385,0.01916377311274681,0.07305655433861112,0.01248266194324801,0.07075012781901288,0.004217211105929212,0.019764742356557653,0.02157214963357231,0.05990990914913986,0.12841295274812545
prior_positive_esbl,0.010402317852252265,0.041922045207200866,0.12976629328925232,0.1936259886501022,1.0,0.08110972114880517,0.005922026616236742,0.04252521843501214,0.08248734999849011,0.009281706547438028,0.03362147818911581,0.03156812696307869,0.00771405949568652,0.016798160131651075,0.01384293934682861,0.02014468093162163,0.016582347155823112,0.056249973069090894,0.010170003361571112,0.031848831103431355,0.041725567706400284,0.04801463951548192,0.012474580082284923,0.04400774695735205,0.0012126257222347546,0.08367297734470674,0.014387746866790964,0.032567757139537044,0.043535663404417495,0.05085337632487036,0.048083942330334285,0.013817992580232124,0.06049627369254924
surgery_length,0.12492097673654724,0.19361450059898494,0.05084568709106233,0.015045819710221198,0.08110972114880517,1.0,0.12342638596433621,0.038082145545879145,0.034579254803387666,0.038367526795887716,0.04462814739450893,0.035587410881405206,0.05993060963582677,0.1312430095056946,0.0570193015571545,0.09608668502929223,0.03574168698651985,0.17472735059884142,0.07679845656126594,0.2957945565068023,0.02317197165479581,0.09610928243653498,0.0012273553905713351,0.2993631138725824,0.03309120873188272,0.13337689408935646,0.07023105737736468,0.030430132765877915,0.11088540174655,0.03409729115388465,0.023152965462387452,0.10113004960617751,0.03789191630174564
temp,0.05301411175349327,0.010348006165550207,0.021530289580837744,0.005766604169165391,0.005922026616236742,0.12342638596433621,1.0,0.004952108599364095,0.04032006483775807,0.0028364715832529456,0.006633922775042717,0.05348054010635531,0.018834006062645858,0.06519867332212667,0.009236252021699727,0.039311522069929286,0.034368740492180284,0.051932243565240566,0.003522713178839786,0.09355824176565586,0.026951981363100418,0.028327953976141695,0.015908136985719832,0.012403382017255054,0.04075710121438558,0.09029164081555516,0.01638182205774847,0.010011671759514004,0.010334945283800266,0.0015576448766173878,0.018520659057386098,0.08423910774638364,0.08720664748510383
type2_diabetes,0.17396933448013793,0.10647842919902702,0.00021046803785404125,0.011734361640142882,0.04252521843501214,0.038082145545879145,0.004952108599364095,1.0,0.18754567358800833,0.03945812205299501,0.004910850035355072,0.10417145296452429,0.023676926349002137,0.027207800049206633,0.017554683250344767,0.02141236204146474,0.006485888137044849,0.02893389044280611,0.03678176849302743,0.03748979798348151,0.05817228649576327,0.023677845282166366,0.00502211462200845,0.14474498429488833,0.02071946899591417,0.0006666605318006506,0.03249630618711475,0.022136488761440965,0.023024275167761985,0.015214401183077113,0.06242527232403501,0.000780126796192261,0.010160235285963526
ethnicity_desc__asian,0.04737252339149707,0.05241368628081582,0.019665954550692488,0.026676878708230947,0.08248734999849011,0.034579254803387666,0.04032006483775807,0.18754567358800833,1.0,0.1264366932368005,0.03718689210401844,0.07325438837831567,0.027542706626428767,0.01885604469723494,0.04744934614353109,0.0027227554047478206,0.014492433970021703,0.055071916393961196,0.0018296599920015492,0.021860896637605244,0.018171076581299666,0.09231270537630039,0.0042660592999182595,0.014134184675136495,0.021476480855706113,0.02827172273669449,0.07617595446368143,0.076302107006127,0.033220119782578196,0.04300805364220567,0.09698034225532577,0.020909323285812038,0.04026481508302207
ethnicity_desc__black,0.058652103344095236,0.06047875306932411,0.011709735897184829,0.005065972910074442,0.009281706547438028,0.038367526795887716,0.0028364715832529456,0.03945812205299501,0.1264366932368005,1.0,0.022435590643955283,0.031146565730040612,0.027718868597103322,0.030581191237118492,0.0461049494428953,0.013457770183899776,0.04239185988509565,0.009259076089795416,0.01947215912433234,0.01480452561357067,0.03256271544932605,0.011663263627628295,0.005013441102964501,0.007212209032113691,0.050076610788847016,0.013012909145291057,0.021335447493038756,0.002812468414838721,0.013475497339425121,0.054140152496640816,0.03399912288572942,0.0010792405918437491,0.008691861522822272
