term,odds_ratio,ci_lower,ci_upper,p_value,predictor,category,is_categorical,n,events
age_at_admission,1.006260067805151,0.9983486321130233,1.0142341978434195,0.12124290494593096,age_at_admission,,False,1849,660
gender,1.063827068632054,0.8278202920075586,1.3671180120623758,0.6287654798457964,gender,,False,1849,660
hospital_exposure_90d,0.9080523126791971,0.713124045213319,1.1562630766648536,0.43402654086150183,hospital_exposure_90d,,False,1849,660
past_abx,0.9640485814700855,0.6635241198879451,1.4006870881972429,0.8476695882940501,past_abx,,False,1849,660
prior_positive_esbl,5.166432483110205,3.3338209674446344,8.006436117352651,2.021273182077429e-13,prior_positive_esbl,,False,1849,660
surgery_length,1.0175291876768422,0.9775015702900641,1.0591958921017997,0.3960717917006046,surgery_length,,False,1849,660
temp,1.277643363153253,1.0180804251997184,1.6033827220372403,0.0344629825151722,temp,,False,1849,660
type2_diabetes,1.1325619321555955,0.8604290034352761,1.4907639387408256,0.37463346703600475,type2_diabetes,,False,1849,660
ethnicity_desc__asian,2.115363431871438,1.569236103623427,2.851554612187744,8.779690339906695e-07,ethnicity_desc,asian,True,1849,660
ethnicity_desc__black,1.1890133451362528,0.8133084314462319,1.7382737965695922,0.37159912269628115,ethnicity_desc,black,True,1849,660
organism_bug__klebsiella oxytoca,0.2094830950732706,0.09779659901570086,0.44871874444664145,5.77472035857314e-05,organism_bug,klebsiella oxytoca,True,1849,660
organism_bug__klebsiella pneumoniae,1.2366755669640679,0.9554068997602286,1.6007488100721405,0.10664125859678424,organism_bug,klebsiella pneumoniae,True,1849,660
organism_bug__proteus mirabilis,0.06704362194297188,0.02343104013519575,0.19183302223448598,4.6978634507742464e-07,organism_bug,proteus mirabilis,True,1849,660
site__drain,1.0619848404418901,0.7219694655176736,1.5621322717848076,0.7600339051945584,site,drain,True,1849,660
site__sputum,0.37451431608781327,0.23753275090964537,0.5904910898290237,2.3619677228237863e-05,site,sputum,True,1849,660
site__tips_devices,1.0646918215186263,0.5333834433274399,2.12524158555998,0.8589189916966934,site,tips_devices,True,1849,660
site__tissue/biopsy,1.1675952512700805,0.4727979475770296,2.88342764128927,0.736925991069219,site,tissue/biopsy,True,1849,660
site__urine,1.296812967152348,0.9539821192816978,1.7628463236194962,0.09707157379934978,site,urine,True,1849,660
site__wound,0.696674674938557,0.5020460728537025,0.9667551026580341,0.03060073872348924,site,wound,True,1849,660
tfc__abdominal_gi,1.3070770763914663,0.8744528770356395,1.953736477395606,0.19162163125599396,tfc,abdominal_gi,True,1849,660
tfc__cardiothoracic,0.7820969648544981,0.46526859546992194,1.3146721450581138,0.3536637928283126,tfc,cardiothoracic,True,1849,660
tfc__gynaecological_oncology,2.1168079191311735,1.3049913343075528,3.4336440777011497,0.0023770426136188105,tfc,gynaecological_oncology,True,1849,660
tfc__neuro_ent,0.7867345313719828,0.4826602133743918,1.2823746513636558,0.3359328248030048,tfc,neuro_ent,True,1849,660
tfc__obs_gynae,0.6316913129186912,0.3762765652118481,1.0604803798830231,0.0822443833845544,tfc,obs_gynae,True,1849,660
tfc__ortho_plastics,0.8494824125071542,0.5031193376481685,1.4342926521810697,0.541599824953758,tfc,ortho_plastics,True,1849,660
tfc__uro_nephro,1.3939040669263403,0.9014564655396774,2.1553659240001,0.13532094390561306,tfc,uro_nephro,True,1849,660
tfc__vascular,1.3238615060198617,0.7511257138049663,2.3333101968284504,0.3319229888538422,tfc,vascular,True,1849,660
prophylaxis_group__aminoglycoside-based,0.5135829099302021,0.3319255790615366,0.7946582668263524,0.0027715671667439368,prophylaxis_group,aminoglycoside-based,True,1849,660
prophylaxis_group__cefuroxime +/- metronidazole + aminoglycoside,0.8970471081497498,0.5065692978058115,1.5885161570693938,0.7094165143283166,prophylaxis_group,cefuroxime +/- metronidazole + aminoglycoside,True,1849,660
prophylaxis_group__co-amoxiclav-based,0.6292292692149222,0.4097803582923577,0.966199246070914,0.034250935168453296,prophylaxis_group,co-amoxiclav-based,True,1849,660
prophylaxis_group__limited_enterobact_activity,0.47407085688310774,0.32993779978523113,0.6811683217023868,5.433491414535621e-05,prophylaxis_group,limited_enterobact_activity,True,1849,660
prophylaxis_group__no_prophylaxis,1.033292318734731,0.7828549976002758,1.363845181073186,0.8171099316350924,prophylaxis_group,no_prophylaxis,True,1849,660
prophylaxis_group__other_broad_spectrum_gram_negative_active,1.6937476619476677,0.5219207917593679,5.496583365998275,0.3803016531588975,prophylaxis_group,other_broad_spectrum_gram_negative_active,True,1849,660
