variable,vif,error
const,6527.346188130634,
tfc__uro_nephro,2.5302701438978747,
tfc__obs_gynae,2.333854533347391,
tfc__abdominal_gi,2.2862223883892687,
tfc__gynaecological_oncology,1.9966248895084535,
tfc__cardiothoracic,1.925030400351593,
site__urine,1.8980554047396234,
tfc__neuro_ent,1.810428293290612,
tfc__ortho_plastics,1.8010373188173774,
site__wound,1.793460701293198,
tfc__vascular,1.6940299831296821,
site__sputum,1.6819905414931313,
site__drain,1.5247489844994195,
prophylaxis_group__no_prophylaxis,1.4782165858693457,
gender,1.4327309216909219,
prophylaxis_group__aminoglycoside-based,1.396128184370014,
surgery_length,1.3605775072259718,
prophylaxis_group__co-amoxiclav-based,1.351779377795051,
prophylaxis_group__limited_enterobact_activity,1.3224866589621838,
hospital_exposure_90d,1.2899667887339308,
past_abx,1.289139475776176,
age_at_admission,1.2590702371676203,
prophylaxis_group__cefuroxime +/- metronidazole + aminoglycoside,1.2187119449230222,
site__tips_devices,1.1637399908670738,
organism_bug__klebsiella pneumoniae,1.135518841961266,
site__tissue/biopsy,1.1244216352824012,
ethnicity_desc__asian,1.11889301634055,
type2_diabetes,1.1127929269639734,
prior_positive_esbl,1.0895704777230049,
organism_bug__klebsiella oxytoca,1.0842541734731697,
prophylaxis_group__other_broad_spectrum_gram_negative_active,1.077139086521763,
organism_bug__proteus mirabilis,1.0599937766788134,
temp,1.0583477951150047,
ethnicity_desc__black,1.0446259813606522,
