term,OR,CI_lower,CI_upper,p_value,epv,strat_col,strat_value,n,events,non_events,status,warnings,converged,dropped_cols,n_dropped_cols,suspicious_estimate
gender,1.0570001305679955,0.6242082454288118,1.7898662572988662,0.836570208683082,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
hospital_exposure_90d,0.9035216845735229,0.5427598490594995,1.5040748425093708,0.6964037223777679,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
past_abx,0.7537760581516627,0.38812234864763556,1.4639155612203372,0.403928554828334,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
prior_positive_esbl,4.942002083534714,2.1648605056540746,11.281735950133356,0.00014827608276186746,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
surgery_length,0.9788294245169914,0.9146817642419389,1.0474758323123619,0.5360861530012406,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
ethnicity_desc__asian,1.699360505882968,0.8949584413305729,3.2267712058912617,0.10507082763057064,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
ethnicity_desc__black,1.2145601352163262,0.5109197076842615,2.887256646925662,0.6599582117295585,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
organism_bug__klebsiella pneumoniae,1.0523432594378581,0.6239121378311537,1.7749716162502234,0.8483038454689275,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
prophylaxis_group__aminoglycoside-based,1.0286140424196264,0.3662332306637348,2.888997392031621,0.9572981926824569,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
prophylaxis_group__limited_enterobact_activity,0.5432350487525461,0.21808702368805413,1.3531493676363366,0.19003757682295508,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
prophylaxis_group__no_prophylaxis,0.8443183727802727,0.47759607293120027,1.4926285097763352,0.5604799947619571,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
site__drain,0.9406593250824262,0.5305817069964497,1.6676789911840035,0.8341422829562375,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
site__sputum,0.41825701771800955,0.16832069616674455,1.0393192094278323,0.0605289154645602,10.4,tfc,abdominal_gi,419,177,242,success,,True,,0,False
