,,Grouped by esbl_status,Grouped by esbl_status,Grouped by esbl_status,Grouped by esbl_status,Grouped by esbl_status
,,Missing,Overall,ESBL,non-ESBL,P-Value
n,,,2589,893,1696,
"age_at_admission, median [Q1,Q3]",,0,"63.0 [50.0,72.0]","64.0 [52.0,73.0]","62.0 [49.0,72.0]",0.035
"gender, n (%)",0,0,1159 (44.8),387 (43.3),772 (45.5),0.308
"gender, n (%)",1,,1430 (55.2),506 (56.7),924 (54.5),
"ethnicity_desc, n (%)",asian,758,367 (20.0),190 (30.7),177 (14.6),<0.001
"ethnicity_desc, n (%)",black,,231 (12.6),77 (12.5),154 (12.7),
"ethnicity_desc, n (%)",mixed,,37 (2.0),11 (1.8),26 (2.1),
"ethnicity_desc, n (%)",white,,1196 (65.3),340 (55.0),856 (70.6),
"imd_decile, median [Q1,Q3]",,148,"5.0 [3.0,7.0]","5.0 [3.0,7.0]","5.0 [3.0,7.0]",0.990
"tfc, n (%)",abdominal_gi,97,419 (16.8),177 (20.5),242 (14.8),<0.001
"tfc, n (%)",cardiothoracic,,220 (8.8),53 (6.1),167 (10.2),
"tfc, n (%)",general_surgery,,219 (8.8),74 (8.6),145 (8.9),
"tfc, n (%)",gynaecological_oncology,,225 (9.0),115 (13.3),110 (6.7),
"tfc, n (%)",neuro_ent,,250 (10.0),69 (8.0),181 (11.1),
"tfc, n (%)",obs_gynae,,318 (12.8),66 (7.7),252 (15.5),
"tfc, n (%)",ortho_plastics,,245 (9.8),59 (6.8),186 (11.4),
"tfc, n (%)",uro_nephro,,450 (18.1),197 (22.9),253 (15.5),
"tfc, n (%)",vascular,,146 (5.9),52 (6.0),94 (5.8),
"asthma, n (%)",0,0,2011 (77.7),675 (75.6),1336 (78.8),0.072
"asthma, n (%)",1,,578 (22.3),218 (24.4),360 (21.2),
"cancer, n (%)",0,0,2006 (77.5),699 (78.3),1307 (77.1),0.514
"cancer, n (%)",1,,583 (22.5),194 (21.7),389 (22.9),
"copd, n (%)",0,0,2289 (88.4),810 (90.7),1479 (87.2),0.010
"copd, n (%)",1,,300 (11.6),83 (9.3),217 (12.8),
"hypertension, n (%)",0,0,1325 (51.2),424 (47.5),901 (53.1),0.007
"hypertension, n (%)",1,,1264 (48.8),469 (52.5),795 (46.9),
"ischaemic_heart_disease, n (%)",0,0,1847 (71.3),627 (70.2),1220 (71.9),0.382
"ischaemic_heart_disease, n (%)",1,,742 (28.7),266 (29.8),476 (28.1),
"type2_diabetes, n (%)",0,0,2116 (81.7),701 (78.5),1415 (83.4),0.002
"type2_diabetes, n (%)",1,,473 (18.3),192 (21.5),281 (16.6),
"emergency_exposure_90d, n (%)",0,0,2217 (85.6),768 (86.0),1449 (85.4),0.740
"emergency_exposure_90d, n (%)",1,,372 (14.4),125 (14.0),247 (14.6),
"hospital_exposure_90d, n (%)",0,0,1468 (56.7),485 (54.3),983 (58.0),0.082
"hospital_exposure_90d, n (%)",1,,1121 (43.3),408 (45.7),713 (42.0),
"n_surgeries, median [Q1,Q3]",,0,"1.0 [1.0,1.0]","1.0 [1.0,1.0]","1.0 [1.0,1.0]",0.007
"surgery_length, median [Q1,Q3]",,0,"2.8 [1.1,5.0]","3.0 [1.4,5.2]","2.7 [1.0,5.0]",0.001
"min_days_from_surgery_to_infection, median [Q1,Q3]",,0,"11.0 [5.0,20.0]","10.0 [4.0,19.0]","11.0 [5.8,20.0]",0.003
"prophylaxis_group, n (%)",aminoglycoside-based,0,231 (8.9),71 (8.0),160 (9.4),<0.001
"prophylaxis_group, n (%)",cefuroxime +/- metronidazole,,770 (29.7),308 (34.5),462 (27.2),
"prophylaxis_group, n (%)",cefuroxime +/- metronidazole + aminoglycoside,,77 (3.0),34 (3.8),43 (2.5),
"prophylaxis_group, n (%)",co-amoxiclav-based,,266 (10.3),65 (7.3),201 (11.9),
"prophylaxis_group, n (%)",limited_enterobact_activity,,322 (12.4),91 (10.2),231 (13.6),
"prophylaxis_group, n (%)",no_prophylaxis,,886 (34.2),311 (34.8),575 (33.9),
"prophylaxis_group, n (%)",other_broad_spectrum_gram_negative_active,,37 (1.4),13 (1.5),24 (1.4),
"delta_hours_prophylaxis, mean (SD)",,886,0.3 (1.0),0.3 (1.0),0.3 (1.0),0.767
"site, n (%)",blood,399,158 (7.2),57 (7.5),101 (7.1),<0.001
"site, n (%)",drain,,272 (12.4),109 (14.3),163 (11.4),
"site, n (%)",sputum,,303 (13.8),60 (7.9),243 (17.0),
"site, n (%)",tips_devices,,59 (2.7),21 (2.8),38 (2.7),
"site, n (%)",tissue/biopsy,,61 (2.8),19 (2.5),42 (2.9),
"site, n (%)",urine,,747 (34.1),329 (43.2),418 (29.3),
"site, n (%)",wound,,590 (26.9),167 (21.9),423 (29.6),
"n_sites, mean (SD)",,0,1.1 (0.4),1.2 (0.5),1.1 (0.3),<0.001
"organism_bug, n (%)",escherichia coli,0,1666 (64.3),626 (70.1),1040 (61.3),<0.001
"organism_bug, n (%)",klebsiella oxytoca,,132 (5.1),10 (1.1),122 (7.2),
"organism_bug, n (%)",klebsiella pneumoniae,,602 (23.3),248 (27.8),354 (20.9),
"organism_bug, n (%)",proteus mirabilis,,189 (7.3),9 (1.0),180 (10.6),
"n_samples, mean (SD)",,0,1.8 (2.6),2.3 (3.6),1.6 (1.9),<0.001
"culture_span_days, mean (SD)",,0,1.1 (3.7),2.0 (4.8),0.7 (2.8),<0.001
"prior_positive_esbl, n (%)",0,0,2346 (90.6),728 (81.5),1618 (95.4),<0.001
"prior_positive_esbl, n (%)",1,,243 (9.4),165 (18.5),78 (4.6),
"temp, median [Q1,Q3]",,443,"36.7 [36.5,37.0]","36.8 [36.5,37.1]","36.7 [36.5,37.0]",0.041
"crp, median [Q1,Q3]",,748,"107.6 [43.4,196.0]","117.7 [47.1,200.1]","102.3 [41.6,192.6]",0.026
