variable,level,missing,overall,ESBL,non-ESBL,p_value
"Age at admission, median [q1,q3]",,,"63.0 [50.0,72.0]","64.0 [52.0,73.0]","62.0 [49.0,72.0]",0.035
"Gender, n (%)",Male,,1430 (55.2),506 (56.7),924 (54.5),
"Ethnicity  , n (%)",Asian,758,367 (20.0),190 (30.7),177 (14.6),<0.001
,Black,,231 (12.6),77 (12.5),154 (12.7),
,Mixed,,37 (2.0),11 (1.8),26 (2.1),
,White,,1196 (65.3),340 (55.0),856 (70.6),
"Imd decile, median [q1,q3]",,148,"5.0 [3.0,7.0]","5.0 [3.0,7.0]","5.0 [3.0,7.0]",0.990
"Surgical specialty, n (%)",Abdominal gastrointestinal,97,419 (16.8),177 (20.5),242 (14.8),<0.001
,Cardiothoracic,,220 (8.8),53 (6.1),167 (10.2),
,General surgery,,219 (8.8),74 (8.6),145 (8.9),
,Gynaecological oncology,,225 (9.0),115 (13.3),110 (6.7),
,Neurology/ENT,,250 (10.0),69 (8.0),181 (11.1),
,Obstetrics/Gynaecology,,318 (12.8),66 (7.7),252 (15.5),
,Orthopaedic plastics,,245 (9.8),59 (6.8),186 (11.4),
,Urology/Nephrology,,450 (18.1),197 (22.9),253 (15.5),
,Vascular,,146 (5.9),52 (6.0),94 (5.8),
"Asthma, n (%)",,,578 (22.3),218 (24.4),360 (21.2),
"Cancer, n (%)",,,583 (22.5),194 (21.7),389 (22.9),
"COPD, n (%)",,,300 (11.6),83 (9.3),217 (12.8),
"Hypertension, n (%)",,,1264 (48.8),469 (52.5),795 (46.9),
"Ischaemic heart disease, n (%)",,,742 (28.7),266 (29.8),476 (28.1),
"Type2 diabetes, n (%)",,,473 (18.3),192 (21.5),281 (16.6),
"Emergency exposure 90d, n (%)",,,372 (14.4),125 (14.0),247 (14.6),
"Hospital exposure 90d, n (%)",,,1121 (43.3),408 (45.7),713 (42.0),
"N surgeries, median [q1,q3]",,,"1.0 [1.0,1.0]","1.0 [1.0,1.0]","1.0 [1.0,1.0]",0.007
"Surgery length, median [q1,q3]",,,"2.8 [1.1,5.0]","3.0 [1.4,5.2]","2.7 [1.0,5.0]",0.001
"Min days from surgery to infection, median [q1,q3]",,,"11.0 [5.0,20.0]","10.0 [4.0,19.0]","11.0 [5.8,20.0]",0.003
"Prophylaxis group, n (%)",Aminoglycoside-based,,231 (8.9),71 (8.0),160 (9.4),<0.001
,Cefuroxime +/- metronidazole,,770 (29.7),308 (34.5),462 (27.2),
,Cefuroxime +/- metronidazole + aminoglycoside,,77 (3.0),34 (3.8),43 (2.5),
,Co-amoxiclav-based,,266 (10.3),65 (7.3),201 (11.9),
,Limited enterobact activity,,322 (12.4),91 (10.2),231 (13.6),
,No prophylaxis,,886 (34.2),311 (34.8),575 (33.9),
,Other broad spectrum gram negative active,,37 (1.4),13 (1.5),24 (1.4),
"Delta hours prophylaxis, mean (sd)",,886,0.3 (1.0),0.3 (1.0),0.3 (1.0),0.767
"Site, n (%)",Blood,399,158 (7.2),57 (7.5),101 (7.1),<0.001
,Drain,,272 (12.4),109 (14.3),163 (11.4),
,Sputum,,303 (13.8),60 (7.9),243 (17.0),
,Tips devices,,59 (2.7),21 (2.8),38 (2.7),
,Tissue/biopsy,,61 (2.8),19 (2.5),42 (2.9),
,Urine,,747 (34.1),329 (43.2),418 (29.3),
,Wound,,590 (26.9),167 (21.9),423 (29.6),
"N sites, mean (sd)",,,1.1 (0.4),1.2 (0.5),1.1 (0.3),<0.001
"Organism bug, n (%)",Escherichia coli,,1666 (64.3),626 (70.1),1040 (61.3),<0.001
,Klebsiella oxytoca,,132 (5.1),10 (1.1),122 (7.2),
,Klebsiella pneumoniae,,602 (23.3),248 (27.8),354 (20.9),
,Proteus mirabilis,,189 (7.3),9 (1.0),180 (10.6),
"N samples, mean (sd)",,,1.8 (2.6),2.3 (3.6),1.6 (1.9),<0.001
"Culture span days, mean (sd)",,,1.1 (3.7),2.0 (4.8),0.7 (2.8),<0.001
"Prior positive ESBL, n (%)",,,243 (9.4),165 (18.5),78 (4.6),
"Temp, median [q1,q3]",,443,"36.7 [36.5,37.0]","36.8 [36.5,37.1]","36.7 [36.5,37.0]",0.041
"CRP, median [q1,q3]",,748,"107.6 [43.4,196.0]","117.7 [47.1,200.1]","102.3 [41.6,192.6]",0.026
"Any healthcare exposure 90d, n (%)",,,1205 (46.5),430 (48.2),775 (45.7),
"Past antibiotics, n (%)",,,338 (13.1),137 (15.3),201 (11.9),
"Length of stay days, median [q1,q3]",,,"8.0 [2.0,22.0]","11.0 [4.0,28.0]","7.0 [1.0,18.0]",<0.001
"In hospital mortality, n (%)",,,67 (2.6),42 (4.7),25 (1.5),
