predictor,term,category,reference,odds_ratio,ci_lower,ci_upper,p_value,n,events,model_type,error
any_healthcare_exposure_90d,any_healthcare_exposure_90d,,,1.1036756666464187,0.925449215818887,1.3162256300250648,0.27230184952669667,2238,753,binary,
asthma,asthma,,,1.105084745762712,0.891253254288386,1.3702191710845475,0.3624565604290101,2238,753,binary,
cancer,cancer,,,0.9593204103493732,0.7752590270772808,1.187081501240167,0.7023884803341365,2238,753,binary,
copd,copd,,,0.7573764796386827,0.5657027194824231,1.0139939444425932,0.06195490435243165,2238,753,binary,
emergency_exposure_90d,emergency_exposure_90d,,,1.0166112956810631,0.7912153814042989,1.3062164244987398,0.8974998276466718,2238,753,binary,
gender,gender,,,1.0114858545709615,0.8476248965284242,1.2070240482404704,0.8992185056598483,2238,753,binary,
hospital_exposure_90d,hospital_exposure_90d,,,1.1578916063951272,0.9694380435048259,1.3829795324652059,0.10576994953416193,2238,753,binary,
hypertension,hypertension,,,1.2830405449449183,1.0762989989467917,1.5294941661967807,0.005433136836307408,2238,753,binary,
ischaemic_heart_disease,ischaemic_heart_disease,,,1.108198827741283,0.9125066567985324,1.3458582824106464,0.3000381106512139,2238,753,binary,
past_abx,past_abx,,,1.2617795310103002,0.9718463880527297,1.6382090878236517,0.08088410966063435,2238,753,binary,
prior_positive_esbl,prior_positive_esbl,,,4.591917591125199,3.324601557249845,6.342326080460429,2.2254517418373217e-20,2238,753,binary,
type2_diabetes,type2_diabetes,,,1.4320903181662676,1.1460765099445387,1.7894814714288219,0.001580777589464636,2238,753,binary,
ethnicity_desc,"C(ethnicity_desc, Treatment(reference='white'))[T.asian]",asian,white,2.7434807890146278,2.1200840951671385,3.5501831539842543,1.671721281117609e-14,1556,515,categorical,
ethnicity_desc,"C(ethnicity_desc, Treatment(reference='white'))[T.black]",black,white,1.3313440649129702,0.964863101291655,1.837024357969736,0.08147083709300398,1556,515,categorical,
organism_bug,"C(organism_bug, Treatment(reference='escherichia coli'))[T.proteus mirabilis]",proteus mirabilis,escherichia coli,0.07030741410488243,0.028586098051896595,0.17292085366605184,7.38589600709723e-09,2238,753,categorical,
organism_bug,"C(organism_bug, Treatment(reference='escherichia coli'))[T.klebsiella oxytoca]",klebsiella oxytoca,escherichia coli,0.1492374355999864,0.07496980947588505,0.29707708129662624,6.113820125888395e-08,2238,753,categorical,
organism_bug,"C(organism_bug, Treatment(reference='escherichia coli'))[T.klebsiella pneumoniae]",klebsiella pneumoniae,escherichia coli,1.1593243815166794,0.9373447706818007,1.4338726406948596,0.17279074104394365,2238,753,categorical,
