predictor,term,category,reference,odds_ratio,ci_lower,ci_upper,p_value,n,events,model_type,error
any_healthcare_exposure_90d,any_healthcare_exposure_90d,,,1.1036856406326219,0.9382893325444229,1.2982370694073402,0.2336554381449324,2589,893,binary,
asthma,asthma,,,1.1985514403292192,0.989186947649561,1.4522285787622051,0.06446166117179136,2589,893,binary,
cancer,cancer,,,0.93250365009139,0.7671265675488825,1.1335327105306592,0.48293062079014126,2589,893,binary,
copd,copd,,,0.6983956306536954,0.5347065946202371,0.9121945789028291,0.008428190983412472,2589,893,binary,
emergency_exposure_90d,emergency_exposure_90d,,,0.9548171811740899,0.7569340802285903,1.2044322924261952,0.6963943917575244,2589,893,binary,
gender,gender,,,1.0924080226405815,0.9278656496870482,1.286129396353881,0.28863661596824586,2589,893,binary,
hospital_exposure_90d,hospital_exposure_90d,,,1.1597981521377663,0.9851654878244623,1.3653865978117314,0.07500008530031387,2589,893,binary,
hypertension,hypertension,,,1.253616352201258,1.065790557368097,1.4745429555946175,0.0063460115246355,2589,893,binary,
ischaemic_heart_disease,ischaemic_heart_disease,,,1.0873440285204983,0.9097804529853203,1.2995630236718916,0.35728926403772177,2589,893,binary,
past_abx,past_abx,,,1.34785727447419,1.066537025147961,1.7033813074618367,0.012444364833591154,2589,893,binary,
prior_positive_esbl,prior_positive_esbl,,,4.701500422654267,3.542091894012663,6.240410154683365,8.759459563606273e-27,2589,893,binary,
type2_diabetes,type2_diabetes,,,1.3792193155685075,1.1239941727264355,1.6923983830121174,0.0020732190463538546,2589,893,binary,
ethnicity_desc,"C(ethnicity_desc, Treatment(reference='white'))[T.asian]",asian,white,2.702558989697575,2.125432555416218,3.4363946643157015,4.996545492023516e-16,1794,607,categorical,
ethnicity_desc,"C(ethnicity_desc, Treatment(reference='white'))[T.black]",black,white,1.2588235294117653,0.9315983654381675,1.7009869671200808,0.13396484696009156,1794,607,categorical,
organism_bug,"C(organism_bug, Treatment(reference='escherichia coli'))[T.proteus mirabilis]",proteus mirabilis,escherichia coli,0.08306709265175721,0.042219885995719325,0.1634334560333778,5.769041298448972e-13,2589,893,categorical,
organism_bug,"C(organism_bug, Treatment(reference='escherichia coli'))[T.klebsiella oxytoca]",klebsiella oxytoca,escherichia coli,0.13617556172419212,0.07092828776251071,0.26144411765570086,2.0852860498255033e-09,2589,893,categorical,
organism_bug,"C(organism_bug, Treatment(reference='escherichia coli'))[T.klebsiella pneumoniae]",klebsiella pneumoniae,escherichia coli,1.1638779083410045,0.9622983288794654,1.4076838178671576,0.1178363723353402,2589,893,categorical,
prophylaxis_group,"C(prophylaxis_group, Treatment(reference='cefuroxime +/- metronidazole'))[T.co-amoxiclav-based]",co-amoxiclav-based,cefuroxime +/- metronidazole,0.4850746268656713,0.3541295930810733,0.6644386637718865,6.588935584597048e-06,2589,893,categorical,
prophylaxis_group,"C(prophylaxis_group, Treatment(reference='cefuroxime +/- metronidazole'))[T.limited_enterobact_activity]",limited_enterobact_activity,cefuroxime +/- metronidazole,0.5909090909090903,0.44562294007793923,0.7835627888859071,0.00025816893332722526,2589,893,categorical,
prophylaxis_group,"C(prophylaxis_group, Treatment(reference='cefuroxime +/- metronidazole'))[T.aminoglycoside-based]",aminoglycoside-based,cefuroxime +/- metronidazole,0.6656249999999997,0.4860155892245477,0.9116099368991635,0.01118968593249212,2589,893,categorical,
prophylaxis_group,"C(prophylaxis_group, Treatment(reference='cefuroxime +/- metronidazole'))[T.no_prophylaxis]",no_prophylaxis,cefuroxime +/- metronidazole,0.8113043478260866,0.6645393478291702,0.9904827260442609,0.03998634498387005,2589,893,categorical,
prophylaxis_group,"C(prophylaxis_group, Treatment(reference='cefuroxime +/- metronidazole'))[T.cefuroxime +/- metronidazole + aminoglycoside]",cefuroxime +/- metronidazole + aminoglycoside,cefuroxime +/- metronidazole,1.1860465116279069,0.7395473302701981,1.9021180527158117,0.47894345744827704,2589,893,categorical,
prophylaxis_group,"C(prophylaxis_group, Treatment(reference='cefuroxime +/- metronidazole'))[T.other_broad_spectrum_gram_negative_active]",other_broad_spectrum_gram_negative_active,cefuroxime +/- metronidazole,0.8124999999999997,0.40745829969300856,1.6201811338666587,0.5554227767383061,2589,893,categorical,
site,"C(site, Treatment(reference='blood'))[T.sputum]",sputum,blood,0.4375135369287415,0.2844871342682066,0.6728532574532301,0.00016706127450807443,2190,762,categorical,
site,"C(site, Treatment(reference='blood'))[T.wound]",wound,blood,0.6995562191530835,0.4828081752879086,1.013609397694913,0.05895643290920824,2190,762,categorical,
site,"C(site, Treatment(reference='blood'))[T.urine]",urine,blood,1.3946529001930654,0.9775226313151644,1.9897817704742429,0.06656736540987737,2190,762,categorical,
site,"C(site, Treatment(reference='blood'))[T.drain]",drain,blood,1.1849101280809389,0.7900996237257066,1.7770063033420807,0.4118992884098085,2190,762,categorical,
site,"C(site, Treatment(reference='blood'))[T.tissue/biopsy]",tissue/biopsy,blood,0.8015873015873016,0.4261839915541955,1.5076638606785941,0.4926067385087195,2190,762,categorical,
site,"C(site, Treatment(reference='blood'))[T.tips_devices]",tips_devices,blood,0.9792243767313017,0.5246360610143902,1.8277058159723132,0.9474279441221252,2190,762,categorical,
tfc,"C(tfc, Treatment(reference='general_surgery'))[T.gynaecological_oncology]",gynaecological_oncology,general_surgery,2.0485257985258,1.3966351627609999,3.004691603875856,0.0002432447930902397,2492,862,categorical,
tfc,"C(tfc, Treatment(reference='general_surgery'))[T.obs_gynae]",obs_gynae,general_surgery,0.5131917631917634,0.3475704453561648,0.7577335453191165,0.0007927719872090534,2492,862,categorical,
tfc,"C(tfc, Treatment(reference='general_surgery'))[T.uro_nephro]",uro_nephro,general_surgery,1.525745112701635,1.0900216109437246,2.1356440327063475,0.013803106994630807,2492,862,categorical,
